#proteinId	gotermId	goName	gotermType	goAcc
59	2227	structural constituent of ribosome	molecular_function	GO:0003735
59	3827	intracellular	cellular_component	GO:0005622
59	4025	ribosome	cellular_component	GO:0005840
59	4556	translation	biological_process	GO:0006412
60	3932	mitochondrial envelope	cellular_component	GO:0005740
60	4287	mitochondrial electron transport, ubiquinol to cytochrome c	biological_process	GO:0006122
60	5803	ubiquinol-cytochrome-c reductase activity	molecular_function	GO:0008121
62	9321	integral to membrane	cellular_component	GO:0016021
62	5836	hedgehog receptor activity	molecular_function	GO:0008158
62	9320	membrane	cellular_component	GO:0016020
64	3043	protein kinase activity	molecular_function	GO:0004672
64	3736	ATP binding	molecular_function	GO:0005524
64	4602	protein amino acid phosphorylation	biological_process	GO:0006468
64	3045	protein serine/threonine kinase activity	molecular_function	GO:0004674
64	3079	protein-tyrosine kinase activity	molecular_function	GO:0004713
66	2176	DNA binding	molecular_function	GO:0003677
66	3875	chromatin silencing complex	cellular_component	GO:0005677
66	4492	chromatin silencing	biological_process	GO:0006342
66	4504	regulation of transcription, DNA-dependent	biological_process	GO:0006355
66	4609	protein amino acid deacetylation	biological_process	GO:0006476
66	5939	zinc ion binding	molecular_function	GO:0008270
66	10293	NAD-dependent histone deacetylase activity	molecular_function	GO:0017136
66	24535	NAD binding	molecular_function	GO:0051287
69	4283	electron transport	biological_process	GO:0006118
69	9834	oxidoreductase activity, acting on the CH-CH group of donors	molecular_function	GO:0016627
69	2443	acyl-CoA dehydrogenase activity	molecular_function	GO:0003995
69	5830	metabolic process	biological_process	GO:0008152
70	2196	transcription factor activity	molecular_function	GO:0003700
70	3838	nucleus	cellular_component	GO:0005634
70	4504	regulation of transcription, DNA-dependent	biological_process	GO:0006355
70	5939	zinc ion binding	molecular_function	GO:0008270
70	2176	DNA binding	molecular_function	GO:0003677
70	4499	transcription	biological_process	GO:0006350
72	162	nucleotide binding	molecular_function	GO:0000166
72	3175	aspartate-tRNA ligase activity	molecular_function	GO:0004815
72	3736	ATP binding	molecular_function	GO:0005524
72	3930	cytoplasm	cellular_component	GO:0005737
72	4556	translation	biological_process	GO:0006412
72	4565	aspartyl-tRNA aminoacylation	biological_process	GO:0006422
72	3172	aminoacyl-tRNA ligase activity	molecular_function	GO:0004812
72	4561	tRNA aminoacylation for protein translation	biological_process	GO:0006418
72	2175	nucleic acid binding	molecular_function	GO:0003676
74	2176	DNA binding	molecular_function	GO:0003677
74	2356	DNA-directed RNA polymerase activity	molecular_function	GO:0003899
74	3838	nucleus	cellular_component	GO:0005634
74	4499	transcription	biological_process	GO:0006350
75	2441	acid phosphatase activity	molecular_function	GO:0003993
75	281	magnesium ion binding	molecular_function	GO:0000287
75	6512	phosphopantetheinyltransferase activity	molecular_function	GO:0008897
75	6668	macromolecule biosynthetic process	biological_process	GO:0009059
77	3827	intracellular	cellular_component	GO:0005622
77	19030	sequence-specific DNA binding	molecular_function	GO:0043565
77	2176	DNA binding	molecular_function	GO:0003677
78	9367	mRNA metabolic process	biological_process	GO:0016071
78	13392	ribonucleoprotein complex	cellular_component	GO:0030529
81	3838	nucleus	cellular_component	GO:0005634
81	4513	rRNA processing	biological_process	GO:0006364
82	3727	protein binding	molecular_function	GO:0005515
84	3827	intracellular	cellular_component	GO:0005622
84	4996	ER to Golgi vesicle-mediated transport	biological_process	GO:0006888
84	4927	transport	biological_process	GO:0006810
85	9321	integral to membrane	cellular_component	GO:0016021
86	3708	binding	molecular_function	GO:0005488
88	162	nucleotide binding	molecular_function	GO:0000166
88	10269	nucleoside-triphosphatase activity	molecular_function	GO:0017111
88	3736	ATP binding	molecular_function	GO:0005524
90	9367	mRNA metabolic process	biological_process	GO:0016071
90	13392	ribonucleoprotein complex	cellular_component	GO:0030529
94	3043	protein kinase activity	molecular_function	GO:0004672
94	3736	ATP binding	molecular_function	GO:0005524
94	4602	protein amino acid phosphorylation	biological_process	GO:0006468
94	3079	protein-tyrosine kinase activity	molecular_function	GO:0004713
94	3045	protein serine/threonine kinase activity	molecular_function	GO:0004674
97	4927	transport	biological_process	GO:0006810
97	9321	integral to membrane	cellular_component	GO:0016021
99	3727	protein binding	molecular_function	GO:0005515
99	3930	cytoplasm	cellular_component	GO:0005737
100	2888	monooxygenase activity	molecular_function	GO:0004497
100	3721	iron ion binding	molecular_function	GO:0005506
100	4283	electron transport	biological_process	GO:0006118
100	12251	heme binding	molecular_function	GO:0020037
101	2888	monooxygenase activity	molecular_function	GO:0004497
101	3721	iron ion binding	molecular_function	GO:0005506
101	4283	electron transport	biological_process	GO:0006118
101	12251	heme binding	molecular_function	GO:0020037
102	2290	catalytic activity	molecular_function	GO:0003824
103	162	nucleotide binding	molecular_function	GO:0000166
103	3172	aminoacyl-tRNA ligase activity	molecular_function	GO:0004812
103	3736	ATP binding	molecular_function	GO:0005524
103	3930	cytoplasm	cellular_component	GO:0005737
103	4556	translation	biological_process	GO:0006412
103	4561	tRNA aminoacylation for protein translation	biological_process	GO:0006418
103	3192	valine-tRNA ligase activity	molecular_function	GO:0004832
103	4581	valyl-tRNA aminoacylation	biological_process	GO:0006438
104	6725	nucleotide metabolic process	biological_process	GO:0009117
104	9985	hydrolase activity	molecular_function	GO:0016787
104	20519	dUTP metabolic process	biological_process	GO:0046080
108	4650	amino acid metabolic process	biological_process	GO:0006520
108	9710	oxidoreductase activity	molecular_function	GO:0016491
109	73	acyl-CoA binding	molecular_function	GO:0000062
110	5939	zinc ion binding	molecular_function	GO:0008270
110	9710	oxidoreductase activity	molecular_function	GO:0016491
110	2290	catalytic activity	molecular_function	GO:0003824
110	3708	binding	molecular_function	GO:0005488
110	5830	metabolic process	biological_process	GO:0008152
111	4595	protein complex assembly	biological_process	GO:0006461
111	9320	membrane	cellular_component	GO:0016020
116	3727	protein binding	molecular_function	GO:0005515
118	2246	actin binding	molecular_function	GO:0003779
118	9342	cellular component organization and biogenesis	biological_process	GO:0016043
118	12936	actin cytoskeleton organization and biogenesis	biological_process	GO:0030036
118	10211	Rho GTPase binding	molecular_function	GO:0017048
119	3737	GTP binding	molecular_function	GO:0005525
119	4050	microtubule	cellular_component	GO:0005874
119	5112	microtubule-based process	biological_process	GO:0007017
119	3530	structural molecule activity	molecular_function	GO:0005198
119	5113	microtubule-based movement	biological_process	GO:0007018
119	18722	protein complex	cellular_component	GO:0043234
119	24507	protein polymerization	biological_process	GO:0051258
119	2378	GTPase activity	molecular_function	GO:0003924
120	2290	catalytic activity	molecular_function	GO:0003824
120	5830	metabolic process	biological_process	GO:0008152
121	144	exocyst	cellular_component	GO:0000145
121	5010	vesicle docking during exocytosis	biological_process	GO:0006904
122	3737	GTP binding	molecular_function	GO:0005525
122	5344	small GTPase mediated signal transduction	biological_process	GO:0007264
122	8400	protein transport	biological_process	GO:0015031
122	3827	intracellular	cellular_component	GO:0005622
122	4994	intracellular protein transport	biological_process	GO:0006886
123	8474	chromate transmembrane transporter activity	molecular_function	GO:0015109
123	9015	chromate transport	biological_process	GO:0015703
128	5765	N-acetyltransferase activity	molecular_function	GO:0008080
128	5830	metabolic process	biological_process	GO:0008152
132	8474	chromate transmembrane transporter activity	molecular_function	GO:0015109
132	9015	chromate transport	biological_process	GO:0015703
133	2905	nicotinate-nucleotide diphosphorylase (carboxylating) activity	molecular_function	GO:0004514
133	7026	NAD biosynthetic process	biological_process	GO:0009435
133	11629	pyridine nucleotide biosynthetic process	biological_process	GO:0019363
135	2290	catalytic activity	molecular_function	GO:0003824
135	5830	metabolic process	biological_process	GO:0008152
136	3930	cytoplasm	cellular_component	GO:0005737
136	4995	exocytosis	biological_process	GO:0006887
136	22636	vesicle docking	biological_process	GO:0048278
137	3708	binding	molecular_function	GO:0005488
142	2175	nucleic acid binding	molecular_function	GO:0003676
144	2175	nucleic acid binding	molecular_function	GO:0003676
144	3736	ATP binding	molecular_function	GO:0005524
144	5716	ATP-dependent helicase activity	molecular_function	GO:0008026
144	2792	helicase activity	molecular_function	GO:0004386
145	2175	nucleic acid binding	molecular_function	GO:0003676
145	3827	intracellular	cellular_component	GO:0005622
145	5939	zinc ion binding	molecular_function	GO:0008270
146	2832	inositol or phosphatidylinositol phosphatase activity	molecular_function	GO:0004437
147	8400	protein transport	biological_process	GO:0015031
149	2812	homoserine O-acetyltransferase activity	molecular_function	GO:0004414
149	6695	methionine biosynthetic process	biological_process	GO:0009086
149	3930	cytoplasm	cellular_component	GO:0005737
149	9642	O-acetyltransferase activity	molecular_function	GO:0016413
150	8400	protein transport	biological_process	GO:0015031
153	3727	protein binding	molecular_function	GO:0005515
156	3727	protein binding	molecular_function	GO:0005515
156	5239	cell communication	biological_process	GO:0007154
156	17271	phosphoinositide binding	molecular_function	GO:0035091
157	2933	hydrolase activity, hydrolyzing O-glycosyl compounds	molecular_function	GO:0004553
157	4143	carbohydrate metabolic process	biological_process	GO:0005975
158	2389	GTP cyclohydrolase II activity	molecular_function	GO:0003935
158	6836	riboflavin biosynthetic process	biological_process	GO:0009231
164	2227	structural constituent of ribosome	molecular_function	GO:0003735
164	3827	intracellular	cellular_component	GO:0005622
164	4025	ribosome	cellular_component	GO:0005840
164	4556	translation	biological_process	GO:0006412
165	8445	hydrogen ion transmembrane transporter activity	molecular_function	GO:0015078
165	9691	proton-transporting two-sector ATPase complex	cellular_component	GO:0016469
166	3114	ribonucleoside-diphosphate reductase activity	molecular_function	GO:0004748
166	6791	deoxyribonucleoside diphosphate metabolic process	biological_process	GO:0009186
166	9710	oxidoreductase activity	molecular_function	GO:0016491
166	21336	transition metal ion binding	molecular_function	GO:0046914
167	3114	ribonucleoside-diphosphate reductase activity	molecular_function	GO:0004748
167	6791	deoxyribonucleoside diphosphate metabolic process	biological_process	GO:0009186
167	9710	oxidoreductase activity	molecular_function	GO:0016491
167	21336	transition metal ion binding	molecular_function	GO:0046914
171	4994	intracellular protein transport	biological_process	GO:0006886
171	9320	membrane	cellular_component	GO:0016020
173	3724	calcium ion binding	molecular_function	GO:0005509
177	2615	aminopeptidase activity	molecular_function	GO:0004177
177	3962	vacuole	cellular_component	GO:0005773
177	4639	proteolysis	biological_process	GO:0006508
177	5939	zinc ion binding	molecular_function	GO:0008270
178	4513	rRNA processing	biological_process	GO:0006364
178	14875	small subunit processome	cellular_component	GO:0032040
180	2176	DNA binding	molecular_function	GO:0003677
180	3838	nucleus	cellular_component	GO:0005634
180	4499	transcription	biological_process	GO:0006350
180	5939	zinc ion binding	molecular_function	GO:0008270
183	3727	protein binding	molecular_function	GO:0005515
183	9320	membrane	cellular_component	GO:0016020
183	9480	vesicle-mediated transport	biological_process	GO:0016192
185	2196	transcription factor activity	molecular_function	GO:0003700
185	3838	nucleus	cellular_component	GO:0005634
185	4504	regulation of transcription, DNA-dependent	biological_process	GO:0006355
185	5939	zinc ion binding	molecular_function	GO:0008270
186	3736	ATP binding	molecular_function	GO:0005524
186	8976	ATPase activity, coupled to transmembrane movement of ions, phosphorylative mechanism	molecular_function	GO:0015662
186	9298	proton transport	biological_process	GO:0015992
186	9320	membrane	cellular_component	GO:0016020
186	4927	transport	biological_process	GO:0006810
186	4929	cation transport	biological_process	GO:0006812
186	2290	catalytic activity	molecular_function	GO:0003824
186	5830	metabolic process	biological_process	GO:0008152
186	9321	integral to membrane	cellular_component	GO:0016021
186	10015	hydrolase activity, acting on acid anhydrides, catalyzing transmembrane movement of substances	molecular_function	GO:0016820
188	2216	RNA binding	molecular_function	GO:0003723
188	2915	ribonuclease III activity	molecular_function	GO:0004525
188	4541	RNA processing	biological_process	GO:0006396
188	2175	nucleic acid binding	molecular_function	GO:0003676
188	2792	helicase activity	molecular_function	GO:0004386
188	3736	ATP binding	molecular_function	GO:0005524
194	2948	mannosyl-oligosaccharide 1,2-alpha-mannosidase activity	molecular_function	GO:0004571
194	3724	calcium ion binding	molecular_function	GO:0005509
194	9320	membrane	cellular_component	GO:0016020
195	6724	nucleoside metabolic process	biological_process	GO:0009116
195	9940	transferase activity	molecular_function	GO:0016740
195	2447	adenine phosphoribosyltransferase activity	molecular_function	GO:0003999
195	4330	adenine salvage	biological_process	GO:0006168
196	2227	structural constituent of ribosome	molecular_function	GO:0003735
196	3827	intracellular	cellular_component	GO:0005622
196	4025	ribosome	cellular_component	GO:0005840
196	4556	translation	biological_process	GO:0006412
199	4513	rRNA processing	biological_process	GO:0006364
200	3736	ATP binding	molecular_function	GO:0005524
200	3827	intracellular	cellular_component	GO:0005622
200	4927	transport	biological_process	GO:0006810
200	162	nucleotide binding	molecular_function	GO:0000166
202	2489	aminomethyltransferase activity	molecular_function	GO:0004047
202	3930	cytoplasm	cellular_component	GO:0005737
202	4676	glycine catabolic process	biological_process	GO:0006546
203	281	magnesium ion binding	molecular_function	GO:0000287
203	6512	phosphopantetheinyltransferase activity	molecular_function	GO:0008897
203	6668	macromolecule biosynthetic process	biological_process	GO:0009059
205	2176	DNA binding	molecular_function	GO:0003677
205	4504	regulation of transcription, DNA-dependent	biological_process	GO:0006355
205	3519	neuropeptide hormone activity	molecular_function	GO:0005184
205	5302	neuropeptide signaling pathway	biological_process	GO:0007218
207	2175	nucleic acid binding	molecular_function	GO:0003676
207	3736	ATP binding	molecular_function	GO:0005524
207	5716	ATP-dependent helicase activity	molecular_function	GO:0008026
207	2792	helicase activity	molecular_function	GO:0004386
209	3727	protein binding	molecular_function	GO:0005515
211	2175	nucleic acid binding	molecular_function	GO:0003676
212	9321	integral to membrane	cellular_component	GO:0016021
213	8400	protein transport	biological_process	GO:0015031
214	9988	phosphoric monoester hydrolase activity	molecular_function	GO:0016791
215	3546	transporter activity	molecular_function	GO:0005215
215	4927	transport	biological_process	GO:0006810
215	9321	integral to membrane	cellular_component	GO:0016021
218	2933	hydrolase activity, hydrolyzing O-glycosyl compounds	molecular_function	GO:0004553
218	4143	carbohydrate metabolic process	biological_process	GO:0005975
219	3737	GTP binding	molecular_function	GO:0005525
219	5344	small GTPase mediated signal transduction	biological_process	GO:0007264
219	3827	intracellular	cellular_component	GO:0005622
219	8400	protein transport	biological_process	GO:0015031
221	3727	protein binding	molecular_function	GO:0005515
221	5939	zinc ion binding	molecular_function	GO:0008270
222	2540	chitin synthase activity	molecular_function	GO:0004100
222	4199	chitin biosynthetic process	biological_process	GO:0006031
224	2175	nucleic acid binding	molecular_function	GO:0003676
224	5939	zinc ion binding	molecular_function	GO:0008270
225	12147	protein domain specific binding	molecular_function	GO:0019904
226	6250	peptidyl-lysine modification to hypusine	biological_process	GO:0008612
227	3422	ARF guanyl-nucleotide exchange factor activity	molecular_function	GO:0005086
227	3827	intracellular	cellular_component	GO:0005622
227	14847	regulation of ARF protein signal transduction	biological_process	GO:0032012
227	3708	binding	molecular_function	GO:0005488
229	2378	GTPase activity	molecular_function	GO:0003924
229	3737	GTP binding	molecular_function	GO:0005525
229	2230	translation release factor activity	molecular_function	GO:0003747
229	4559	translational termination	biological_process	GO:0006415
230	3708	binding	molecular_function	GO:0005488
231	12037	small conjugating protein ligase activity	molecular_function	GO:0019787
231	19152	post-translational protein modification	biological_process	GO:0043687
231	24495	regulation of protein metabolic process	biological_process	GO:0051246
233	3736	ATP binding	molecular_function	GO:0005524
233	10082	ATPase activity	molecular_function	GO:0016887
233	162	nucleotide binding	molecular_function	GO:0000166
233	10269	nucleoside-triphosphatase activity	molecular_function	GO:0017111
234	2175	nucleic acid binding	molecular_function	GO:0003676
234	5939	zinc ion binding	molecular_function	GO:0008270
235	12037	small conjugating protein ligase activity	molecular_function	GO:0019787
235	19152	post-translational protein modification	biological_process	GO:0043687
235	24495	regulation of protein metabolic process	biological_process	GO:0051246
236	2441	acid phosphatase activity	molecular_function	GO:0003993
236	2290	catalytic activity	molecular_function	GO:0003824
236	3736	ATP binding	molecular_function	GO:0005524
237	2290	catalytic activity	molecular_function	GO:0003824
237	5830	metabolic process	biological_process	GO:0008152
238	3435	Ras GTPase activator activity	molecular_function	GO:0005099
238	3827	intracellular	cellular_component	GO:0005622
238	5344	small GTPase mediated signal transduction	biological_process	GO:0007264
238	3432	GTPase activator activity	molecular_function	GO:0005096
238	24310	regulation of small GTPase mediated signal transduction	biological_process	GO:0051056
238	5250	signal transduction	biological_process	GO:0007165
241	2175	nucleic acid binding	molecular_function	GO:0003676
241	3827	intracellular	cellular_component	GO:0005622
241	5939	zinc ion binding	molecular_function	GO:0008270
244	2227	structural constituent of ribosome	molecular_function	GO:0003735
244	3827	intracellular	cellular_component	GO:0005622
244	4025	ribosome	cellular_component	GO:0005840
244	4556	translation	biological_process	GO:0006412
245	2956	dolichyl-diphosphooligosaccharide-protein glycotransferase activity	molecular_function	GO:0004579
245	3972	endoplasmic reticulum	cellular_component	GO:0005783
245	4618	protein amino acid glycosylation	biological_process	GO:0006486
245	9321	integral to membrane	cellular_component	GO:0016021
248	2632	pepsin A activity	molecular_function	GO:0004194
248	4639	proteolysis	biological_process	GO:0006508
248	2628	aspartic-type endopeptidase activity	molecular_function	GO:0004190
249	5830	metabolic process	biological_process	GO:0008152
249	9710	oxidoreductase activity	molecular_function	GO:0016491
249	21295	metal ion binding	molecular_function	GO:0046872
250	110	histidine biosynthetic process	biological_process	GO:0000105
250	2290	catalytic activity	molecular_function	GO:0003824
250	5830	metabolic process	biological_process	GO:0008152
250	2402	1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino]imidazole-4-carboxamide isomerase activity	molecular_function	GO:0003949
251	2227	structural constituent of ribosome	molecular_function	GO:0003735
251	3827	intracellular	cellular_component	GO:0005622
251	4025	ribosome	cellular_component	GO:0005840
251	4556	translation	biological_process	GO:0006412
252	3043	protein kinase activity	molecular_function	GO:0004672
252	3736	ATP binding	molecular_function	GO:0005524
252	4602	protein amino acid phosphorylation	biological_process	GO:0006468
252	3079	protein-tyrosine kinase activity	molecular_function	GO:0004713
252	3045	protein serine/threonine kinase activity	molecular_function	GO:0004674
254	4143	carbohydrate metabolic process	biological_process	GO:0005975
254	10005	hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds	molecular_function	GO:0016810
254	2290	catalytic activity	molecular_function	GO:0003824
255	3736	ATP binding	molecular_function	GO:0005524
256	13392	ribonucleoprotein complex	cellular_component	GO:0030529
256	17777	ribosome biogenesis and assembly	biological_process	GO:0042254
257	3514	hormone activity	molecular_function	GO:0005179
257	3782	extracellular region	cellular_component	GO:0005576
257	5355	multicellular organismal development	biological_process	GO:0007275
257	2176	DNA binding	molecular_function	GO:0003677
257	4504	regulation of transcription, DNA-dependent	biological_process	GO:0006355
258	2175	nucleic acid binding	molecular_function	GO:0003676
258	3736	ATP binding	molecular_function	GO:0005524
258	5716	ATP-dependent helicase activity	molecular_function	GO:0008026
258	2792	helicase activity	molecular_function	GO:0004386
261	2751	glucose-6-phosphate dehydrogenase activity	molecular_function	GO:0004345
261	4174	glucose metabolic process	biological_process	GO:0006006
261	2290	catalytic activity	molecular_function	GO:0003824
261	3708	binding	molecular_function	GO:0005488
261	5830	metabolic process	biological_process	GO:0008152
263	12037	small conjugating protein ligase activity	molecular_function	GO:0019787
263	19152	post-translational protein modification	biological_process	GO:0043687
263	24495	regulation of protein metabolic process	biological_process	GO:0051246
267	2290	catalytic activity	molecular_function	GO:0003824
267	5830	metabolic process	biological_process	GO:0008152
269	3043	protein kinase activity	molecular_function	GO:0004672
269	3736	ATP binding	molecular_function	GO:0005524
269	4602	protein amino acid phosphorylation	biological_process	GO:0006468
269	3045	protein serine/threonine kinase activity	molecular_function	GO:0004674
269	3079	protein-tyrosine kinase activity	molecular_function	GO:0004713
270	4591	protein folding	biological_process	GO:0006457
270	9551	prefoldin complex	cellular_component	GO:0016272
270	24336	unfolded protein binding	molecular_function	GO:0051082
272	3930	cytoplasm	cellular_component	GO:0005737
274	3708	binding	molecular_function	GO:0005488
275	9971	phosphotransferase activity, alcohol group as acceptor	molecular_function	GO:0016773
275	3708	binding	molecular_function	GO:0005488
276	2632	pepsin A activity	molecular_function	GO:0004194
276	4639	proteolysis	biological_process	GO:0006508
276	2628	aspartic-type endopeptidase activity	molecular_function	GO:0004190
278	3736	ATP binding	molecular_function	GO:0005524
283	222	microtubule cytoskeleton organization and biogenesis	biological_process	GO:0000226
283	663	spindle pole	cellular_component	GO:0000922
283	4002	microtubule organizing center	cellular_component	GO:0005815
284	3972	endoplasmic reticulum	cellular_component	GO:0005783
284	10048	isomerase activity	molecular_function	GO:0016853
284	19912	cell redox homeostasis	biological_process	GO:0045454
285	2175	nucleic acid binding	molecular_function	GO:0003676
286	2227	structural constituent of ribosome	molecular_function	GO:0003735
286	3827	intracellular	cellular_component	GO:0005622
286	4025	ribosome	cellular_component	GO:0005840
286	4556	translation	biological_process	GO:0006412
286	5781	5S rRNA binding	molecular_function	GO:0008097
288	2176	DNA binding	molecular_function	GO:0003677
288	3838	nucleus	cellular_component	GO:0005634
288	4499	transcription	biological_process	GO:0006350
288	5939	zinc ion binding	molecular_function	GO:0008270
289	8400	protein transport	biological_process	GO:0015031
290	5830	metabolic process	biological_process	GO:0008152
290	9823	oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor	molecular_function	GO:0016616
290	2843	isocitrate dehydrogenase (NAD+) activity	molecular_function	GO:0004449
290	3931	mitochondrion	cellular_component	GO:0005739
290	4264	tricarboxylic acid cycle	biological_process	GO:0006099
291	2216	RNA binding	molecular_function	GO:0003723
291	2928	ribonuclease activity	molecular_function	GO:0004540
292	3727	protein binding	molecular_function	GO:0005515
299	13917	heat shock protein binding	molecular_function	GO:0031072
299	4591	protein folding	biological_process	GO:0006457
299	24336	unfolded protein binding	molecular_function	GO:0051082
301	3727	protein binding	molecular_function	GO:0005515
301	4595	protein complex assembly	biological_process	GO:0006461
301	4994	intracellular protein transport	biological_process	GO:0006886
301	9480	vesicle-mediated transport	biological_process	GO:0016192
301	13011	membrane coat	cellular_component	GO:0030117
301	4927	transport	biological_process	GO:0006810
302	2762	glutamate-ammonia ligase activity	molecular_function	GO:0004356
302	4924	nitrogen compound metabolic process	biological_process	GO:0006807
302	4672	glutamine biosynthetic process	biological_process	GO:0006542
303	2635	cysteine-type endopeptidase activity	molecular_function	GO:0004197
303	4639	proteolysis	biological_process	GO:0006508
304	17783	DNA protection	biological_process	GO:0042262
306	9321	integral to membrane	cellular_component	GO:0016021
307	110	histidine biosynthetic process	biological_process	GO:0000105
307	2799	histidinol dehydrogenase activity	molecular_function	GO:0004399
307	3009	phosphoribosyl-AMP cyclohydrolase activity	molecular_function	GO:0004635
307	3010	phosphoribosyl-ATP diphosphatase activity	molecular_function	GO:0004636
307	5830	metabolic process	biological_process	GO:0008152
307	9710	oxidoreductase activity	molecular_function	GO:0016491
308	2290	catalytic activity	molecular_function	GO:0003824
308	5830	metabolic process	biological_process	GO:0008152
309	5830	metabolic process	biological_process	GO:0008152
309	9710	oxidoreductase activity	molecular_function	GO:0016491
309	2290	catalytic activity	molecular_function	GO:0003824
309	3708	binding	molecular_function	GO:0005488
310	2290	catalytic activity	molecular_function	GO:0003824
310	5830	metabolic process	biological_process	GO:0008152
312	5830	metabolic process	biological_process	GO:0008152
312	9823	oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor	molecular_function	GO:0016616
312	2843	isocitrate dehydrogenase (NAD+) activity	molecular_function	GO:0004449
312	3931	mitochondrion	cellular_component	GO:0005739
312	4264	tricarboxylic acid cycle	biological_process	GO:0006099
313	2175	nucleic acid binding	molecular_function	GO:0003676
315	2227	structural constituent of ribosome	molecular_function	GO:0003735
315	3827	intracellular	cellular_component	GO:0005622
315	4025	ribosome	cellular_component	GO:0005840
315	4556	translation	biological_process	GO:0006412
316	4127	protein kinase CK2 complex	cellular_component	GO:0005956
