Gene ID	Gene Name	Reference	Strand	Start	End	Coverage	FPKM	TPM
gene_25	jgi.p|Botci1|25	Supercontig_1.1	-	48159	49115	100.397514	76.977119	76.828178
gene_26	jgi.p|Botci1|26	Supercontig_1.1	+	50711	51535	118.157379	90.594017	90.418732
gene_29	jgi.p|Botci1|29	Supercontig_1.1	+	56131	56289	12.821803	9.830775	9.811754
gene_27	jgi.p|Botci1|27	Supercontig_1.1	-	52455	53708	65.606987	50.302406	50.205082
gene_28	jgi.p|Botci1|28	Supercontig_1.1	-	54184	54826	9.341737	7.162528	7.148669
gene_30	jgi.p|Botci1|30	Supercontig_1.1	+	57965	60565	99.629570	76.388313	76.240517
gene_31	jgi.p|Botci1|31	Supercontig_1.1	-	61546	62440	39.411625	30.217813	30.159346
gene_32	jgi.p|Botci1|32	Supercontig_1.1	+	62755	64060	78.931580	60.518684	60.401588
gene_33	jgi.p|Botci1|33	Supercontig_1.1	-	64522	66009	29.089384	22.303509	22.260355
gene_38	jgi.p|Botci1|38	Supercontig_1.1	-	77399	77716	3.654489	2.801982	2.796561
gene_34	jgi.p|Botci1|34	Supercontig_1.1	-	66820	70198	15.133975	11.603571	11.581120
gene_35	jgi.p|Botci1|35	Supercontig_1.1	+	70509	71161	357.724213	274.275513	273.744843
gene_36	jgi.p|Botci1|36	Supercontig_1.1	-	71511	72595	55.735573	42.733765	42.651081
gene_37	jgi.p|Botci1|37	Supercontig_1.1	+	73206	75918	54.510983	41.794842	41.713978
gene_39	jgi.p|Botci1|39	Supercontig_1.1	+	78124	78330	2.294686	1.759389	1.755985
gene_40	jgi.p|Botci1|40	Supercontig_1.1	+	78718	79487	0.000000	0.000000	0.000000
gene_41	jgi.p|Botci1|41	Supercontig_1.1	+	81656	81862	40.396133	30.972656	30.912729
gene_42	jgi.p|Botci1|42	Supercontig_1.1	+	82540	83028	1030.625000	790.204224	788.675354
gene_46	jgi.p|Botci1|46	Supercontig_1.1	-	97000	98979	9.040734	6.931742	6.918330
gene_43	jgi.p|Botci1|43	Supercontig_1.1	-	88375	88930	4679.488281	3587.873047	3580.931152
gene_44	jgi.p|Botci1|44	Supercontig_1.1	-	89735	91771	41.759308	32.017838	31.955887
gene_45	jgi.p|Botci1|45	Supercontig_1.1	+	92341	95948	26.498131	20.316734	20.277426
gene_49	jgi.p|Botci1|49	Supercontig_1.1	-	108063	109629	1.674512	1.283887	1.281403
gene_50	jgi.p|Botci1|50	Supercontig_1.1	+	110519	112904	5.185206	3.975618	3.967926
gene_51	jgi.p|Botci1|51	Supercontig_1.1	-	113191	114319	18.821100	14.430576	14.402656
gene_52	jgi.p|Botci1|52	Supercontig_1.1	-	117177	122424	7.716001	5.916038	5.904592
gene_53	jgi.p|Botci1|53	Supercontig_1.1	+	122915	123552	21.232262	16.279270	16.247772
gene_47	jgi.p|Botci1|47	Supercontig_1.1	+	102576	104904	467.172577	358.192108	357.499084
gene_48	jgi.p|Botci1|48	Supercontig_1.1	+	105872	106891	25.143137	19.277828	19.240530
gene_54	jgi.p|Botci1|54	Supercontig_1.1	+	124091	124429	17.790560	13.640437	13.614045
gene_55	jgi.p|Botci1|55	Supercontig_1.1	-	124981	126697	115.917130	88.876358	88.704399
gene_56	jgi.p|Botci1|56	Supercontig_1.1	-	128334	129624	33.392097	25.602499	25.552963
gene_57	jgi.p|Botci1|57	Supercontig_1.1	-	130078	133270	43.969387	33.712357	33.647129
gene_58	jgi.p|Botci1|58	Supercontig_1.1	-	134799	135740	121.510147	93.164665	92.984406
gene_59	jgi.p|Botci1|59	Supercontig_1.1	+	137623	139639	5.197865	3.985324	3.977613
gene_60	jgi.p|Botci1|60	Supercontig_1.1	+	140600	141312	67.565605	51.804127	51.703896
gene_61	jgi.p|Botci1|61	Supercontig_1.1	+	142308	143214	209.261887	160.445969	160.135544
gene_62	jgi.p|Botci1|62	Supercontig_1.1	-	144153	145573	16.138283	12.373598	12.349657
gene_63	jgi.p|Botci1|63	Supercontig_1.1	+	145996	147041	130.129059	99.772987	99.579941
gene_64	jgi.p|Botci1|64	Supercontig_1.1	-	147437	148186	35.134666	26.938566	26.886448
gene_65	jgi.p|Botci1|65	Supercontig_1.1	+	151446	151550	1.485714	1.139132	1.136928
gene_66	jgi.p|Botci1|66	Supercontig_1.1	+	152589	152912	172.012344	131.885880	131.630707
gene_67	jgi.p|Botci1|67	Supercontig_1.1	-	153436	153741	5.657210	4.337515	4.329123
gene_68	jgi.p|Botci1|68	Supercontig_1.1	-	154242	156597	18.097692	13.875923	13.849075
gene_74	jgi.p|Botci1|74	Supercontig_1.1	-	166444	169463	6.372632	4.886045	4.876592
gene_75	jgi.p|Botci1|75	Supercontig_1.1	-	170576	171507	2.913378	2.233755	2.229433
gene_76	jgi.p|Botci1|76	Supercontig_1.1	+	172493	173672	2.663121	2.041877	2.037926
gene_69	jgi.p|Botci1|69	Supercontig_1.1	+	158031	158135	5.171429	3.965055	3.957384
gene_70	jgi.p|Botci1|70	Supercontig_1.1	+	158709	160934	87.844971	67.352791	67.222473
gene_71	jgi.p|Botci1|71	Supercontig_1.1	-	161308	162411	33.044384	25.335899	25.286880
gene_72	jgi.p|Botci1|72	Supercontig_1.1	+	162682	163470	206.340363	158.205963	157.899872
gene_73	jgi.p|Botci1|73	Supercontig_1.1	-	163761	164816	151.164932	115.901672	115.677429
gene_77	jgi.p|Botci1|77	Supercontig_1.1	+	175430	177592	35.687469	27.362415	27.309473
gene_78	jgi.p|Botci1|78	Supercontig_1.1	+	178221	179744	21.500380	16.484842	16.452948
gene_79	jgi.p|Botci1|79	Supercontig_1.1	-	181510	182277	1515.117188	1161.675659	1159.428101
gene_83	jgi.p|Botci1|83	Supercontig_1.1	-	191736	193588	31.873827	24.438408	24.391123
gene_84	jgi.p|Botci1|84	Supercontig_1.1	-	193936	194825	41.161747	31.559673	31.498610
gene_80	jgi.p|Botci1|80	Supercontig_1.1	+	184227	186360	16.309860	12.505151	12.480955
gene_81	jgi.p|Botci1|81	Supercontig_1.1	-	186838	188788	1320.911743	1012.773865	1010.814331
gene_82	jgi.p|Botci1|82	Supercontig_1.1	+	190014	190871	189.240021	145.094742	144.813995
gene_85	jgi.p|Botci1|85	Supercontig_1.1	+	195132	196425	36.041656	27.633980	27.580511
gene_86	jgi.p|Botci1|86	Supercontig_1.1	-	196712	197781	63.514259	48.697865	48.603642
gene_87	jgi.p|Botci1|87	Supercontig_1.1	+	198492	199410	84.733650	64.967262	64.841568
gene_88	jgi.p|Botci1|88	Supercontig_1.1	-	199819	202734	149.466049	114.599113	114.377380
gene_89	jgi.p|Botci1|89	Supercontig_1.1	-	204515	205045	0.000000	0.000000	0.000000
gene_90	jgi.p|Botci1|90	Supercontig_1.1	+	205940	206080	23.843971	18.281729	18.246357
gene_91	jgi.p|Botci1|91	Supercontig_1.1	-	209098	210610	30.412151	23.317707	23.272593
gene_92	jgi.p|Botci1|92	Supercontig_1.1	+	213975	216176	99.459320	76.257782	76.110237
gene_93	jgi.p|Botci1|93	Supercontig_1.1	-	216852	218043	24.652420	18.901585	18.865015
gene_94	jgi.p|Botci1|94	Supercontig_1.1	-	218373	218811	8.095262	6.206826	6.194817
gene_95	jgi.p|Botci1|95	Supercontig_1.1	+	220990	228147	61.839294	47.413631	47.321896
gene_97	jgi.p|Botci1|97	Supercontig_1.1	-	232443	233222	5.285897	4.052820	4.044979
gene_96	jgi.p|Botci1|96	Supercontig_1.1	+	229744	231333	116.246422	89.128845	88.956398
gene_98	jgi.p|Botci1|98	Supercontig_1.1	+	237205	238068	35.347221	27.101540	27.049101
gene_100	jgi.p|Botci1|100	Supercontig_1.1	-	240477	240746	2.005128	1.537378	1.534404
gene_99	jgi.p|Botci1|99	Supercontig_1.1	-	238802	240058	10.927891	8.378669	8.362457
gene_101	jgi.p|Botci1|101	Supercontig_1.1	-	241823	243489	1.208195	0.926351	0.924559
gene_102	jgi.p|Botci1|102	Supercontig_1.1	-	244588	246186	2.476662	1.898915	1.895240
gene_107	jgi.p|Botci1|107	Supercontig_1.1	+	261858	262093	0.000000	0.000000	0.000000
gene_104	jgi.p|Botci1|104	Supercontig_1.1	-	253486	254772	1.534577	1.176596	1.174320
gene_103	jgi.p|Botci1|103	Supercontig_1.1	+	246691	252057	1.640945	1.258151	1.255717
gene_109	jgi.p|Botci1|109	Supercontig_1.1	-	265194	265559	0.000000	0.000000	0.000000
gene_108	jgi.p|Botci1|108	Supercontig_1.1	-	262364	263215	9.225352	7.073293	7.059607
gene_110	jgi.p|Botci1|110	Supercontig_1.1	+	266147	267714	31.330692	24.021973	23.975494
gene_112	jgi.p|Botci1|112	Supercontig_1.1	+	269838	270164	4.409786	3.381086	3.374544
gene_111	jgi.p|Botci1|111	Supercontig_1.1	+	268227	269192	21.156004	16.220802	16.189417
gene_113	jgi.p|Botci1|113	Supercontig_1.1	+	273642	274368	3.758962	2.882084	2.876508
gene_114	jgi.p|Botci1|114	Supercontig_1.1	-	277794	278230	0.000000	0.000000	0.000000
gene_115	jgi.p|Botci1|115	Supercontig_1.1	-	279629	279907	1.358423	1.041535	1.039519
gene_116	jgi.p|Botci1|116	Supercontig_1.1	+	281023	281449	0.683386	0.523968	0.522954
gene_118	jgi.p|Botci1|118	Supercontig_1.1	+	285113	286151	9.981463	7.653021	7.638213
gene_119	jgi.p|Botci1|119	Supercontig_1.1	-	287711	288409	3.260033	2.499543	2.494707
gene_117	jgi.p|Botci1|117	Supercontig_1.1	+	282517	283449	694.416565	532.425354	531.395264
gene_120	jgi.p|Botci1|120	Supercontig_1.1	-	291265	292748	143.643036	110.134460	109.921379
gene_123	jgi.p|Botci1|123	Supercontig_1.1	-	298432	299421	30.941877	23.723858	23.677958
gene_121	jgi.p|Botci1|121	Supercontig_1.1	-	293732	295496	895.073853	686.273987	684.946167
gene_122	jgi.p|Botci1|122	Supercontig_1.1	+	295854	298100	25.894081	19.853596	19.815184
gene_124	jgi.p|Botci1|124	Supercontig_1.1	-	300105	300902	58.802181	45.085003	44.997772
gene_126	jgi.p|Botci1|126	Supercontig_1.1	+	305008	305172	2.218182	1.700732	1.697441
gene_125	jgi.p|Botci1|125	Supercontig_1.1	+	301860	302936	13.948004	10.694260	10.673569
gene_128	jgi.p|Botci1|128	Supercontig_1.1	+	310495	311324	3.202547	2.455468	2.450716
gene_127	jgi.p|Botci1|127	Supercontig_1.1	+	306625	309707	43.354950	33.241253	33.176933
gene_131	jgi.p|Botci1|131	Supercontig_1.1	-	321222	321607	2.506830	1.922045	1.918326
gene_132	jgi.p|Botci1|132	Supercontig_1.1	-	325373	325594	9.256757	7.097372	7.083639
gene_133	jgi.p|Botci1|133	Supercontig_1.1	-	326699	327331	6.269181	4.806727	4.797427
gene_134	jgi.p|Botci1|134	Supercontig_1.1	+	327679	328310	0.763911	0.585708	0.584575
gene_135	jgi.p|Botci1|135	Supercontig_1.1	+	330620	330832	2.398214	1.838767	1.835209
gene_129	jgi.p|Botci1|129	Supercontig_1.1	-	316380	318341	53.116718	40.725826	40.647030
gene_130	jgi.p|Botci1|130	Supercontig_1.1	+	319345	320001	27.919331	21.406403	21.364985
gene_139	jgi.p|Botci1|139	Supercontig_1.1	-	340693	341260	2.660155	2.039603	2.035657
gene_137	jgi.p|Botci1|137	Supercontig_1.1	-	336015	338200	2.385231	1.828812	1.825274
gene_138	jgi.p|Botci1|138	Supercontig_1.1	+	338358	339475	0.575701	0.441403	0.440549
gene_140	jgi.p|Botci1|140	Supercontig_1.1	-	342391	344485	1.732123	1.328059	1.325490
gene_136	jgi.p|Botci1|136	Supercontig_1.1	-	332085	334821	131.078415	100.500877	100.306427
gene_141	jgi.p|Botci1|141	Supercontig_1.1	-	345151	345915	310.726990	238.241623	237.780670
gene_142	jgi.p|Botci1|142	Supercontig_1.1	+	346356	347510	285.730347	219.076111	218.652237
gene_143	jgi.p|Botci1|143	Supercontig_1.1	-	347962	348748	74.933327	57.453133	57.341969
gene_144	jgi.p|Botci1|144	Supercontig_1.1	-	349897	350565	30.749777	23.576571	23.530954
gene_145	jgi.p|Botci1|145	Supercontig_1.1	+	351134	351256	26.284554	20.152981	20.113989
gene_146	jgi.p|Botci1|146	Supercontig_1.1	+	351836	352012	13.590551	10.420193	10.400031
gene_148	jgi.p|Botci1|148	Supercontig_1.1	+	356106	356483	72.953125	55.934864	55.826641
gene_149	jgi.p|Botci1|149	Supercontig_1.1	-	357705	359057	50.503326	38.722080	38.647160
gene_150	jgi.p|Botci1|150	Supercontig_1.1	-	359885	360334	15.502222	11.885916	11.862918
gene_151	jgi.p|Botci1|151	Supercontig_1.1	+	361141	362220	1515.071167	1161.640503	1159.392944
gene_152	jgi.p|Botci1|152	Supercontig_1.1	+	363308	364413	673.971558	516.749695	515.749878
gene_155	jgi.p|Botci1|155	Supercontig_1.1	+	369406	369764	3.035842	2.327651	2.323147
gene_153	jgi.p|Botci1|153	Supercontig_1.1	+	365497	366611	116.780083	89.538010	89.364769
gene_156	jgi.p|Botci1|156	Supercontig_1.1	+	370739	372577	9.985072	7.655787	7.640975
gene_161	jgi.p|Botci1|161	Supercontig_1.1	+	382437	383856	0.676371	0.518589	0.517586
gene_157	jgi.p|Botci1|157	Supercontig_1.1	-	372872	373512	75.461700	57.858242	57.746304
gene_158	jgi.p|Botci1|158	Supercontig_1.1	+	373893	374869	85.315742	65.413567	65.287010
gene_159	jgi.p|Botci1|159	Supercontig_1.1	-	375359	377246	75.391510	57.804428	57.692589
gene_160	jgi.p|Botci1|160	Supercontig_1.1	+	378307	381194	28.157412	21.588943	21.547174
gene_162	jgi.p|Botci1|162	Supercontig_1.1	-	384119	385383	39.819511	30.530546	30.471478
gene_163	jgi.p|Botci1|163	Supercontig_1.1	+	385893	386366	53.620255	41.111897	41.032356
gene_164	jgi.p|Botci1|164	Supercontig_1.1	+	387260	388324	24.877934	19.074492	19.037586
gene_165	jgi.p|Botci1|165	Supercontig_1.1	-	388885	390909	4.679004	3.587502	3.580560
gene_166	jgi.p|Botci1|166	Supercontig_1.1	-	391963	394722	20.349630	15.602536	15.572348
gene_167	jgi.p|Botci1|167	Supercontig_1.1	+	395272	395955	65.254387	50.032063	49.935257
gene_168	jgi.p|Botci1|168	Supercontig_1.1	-	396375	397192	396.353058	303.893127	303.305145
gene_169	jgi.p|Botci1|169	Supercontig_1.1	-	397703	400955	33.826603	25.935646	25.885466
gene_170	jgi.p|Botci1|170	Supercontig_1.1	+	402739	403752	34.529587	26.474640	26.423416
gene_171	jgi.p|Botci1|171	Supercontig_1.1	+	404139	404375	21.118143	16.191772	16.160446
gene_172	jgi.p|Botci1|172	Supercontig_1.1	+	405804	408366	38.687534	29.662636	29.605244
gene_173	jgi.p|Botci1|173	Supercontig_1.1	-	408736	409910	12.304348	9.434031	9.415777
gene_175	jgi.p|Botci1|175	Supercontig_1.1	+	417960	419185	6.530538	5.007116	4.997428
gene_174	jgi.p|Botci1|174	Supercontig_1.1	-	415406	416605	257.233521	197.226944	196.845337
gene_176	jgi.p|Botci1|176	Supercontig_1.1	-	420926	421676	0.000000	0.000000	0.000000
gene_177	jgi.p|Botci1|177	Supercontig_1.1	+	423226	423865	1.701154	1.304314	1.301791
gene_178	jgi.p|Botci1|178	Supercontig_1.1	-	424967	425382	2.748674	2.107472	2.103395
gene_179	jgi.p|Botci1|179	Supercontig_1.1	-	426120	426317	1.949495	1.494723	1.491831
gene_184	jgi.p|Botci1|184	Supercontig_1.1	+	459318	460421	0.488225	0.374334	0.373609
gene_185	jgi.p|Botci1|185	Supercontig_1.1	+	462490	463260	1.928664	1.478752	1.475891
gene_183	jgi.p|Botci1|183	Supercontig_1.1	-	456869	458474	3.023525	2.318207	2.313722
gene_186	jgi.p|Botci1|186	Supercontig_1.1	-	464751	465381	22.359650	17.143665	17.110495
gene_180	jgi.p|Botci1|180	Supercontig_1.1	+	427785	433020	18.021666	13.817631	13.790897
gene_181	jgi.p|Botci1|181	Supercontig_1.1	+	433654	434167	24.322529	18.648651	18.612568
gene_182	jgi.p|Botci1|182	Supercontig_1.1	+	434736	455334	66.342087	50.866028	50.767609
gene_192	jgi.p|Botci1|192	Supercontig_1.1	-	481153	482320	3.528878	2.705673	2.700438
gene_187	jgi.p|Botci1|187	Supercontig_1.1	+	466334	466996	29.998489	23.000542	22.956039
gene_188	jgi.p|Botci1|188	Supercontig_1.1	-	467299	469613	172.450592	132.221893	131.966064
gene_189	jgi.p|Botci1|189	Supercontig_1.1	+	471452	472630	85.009331	65.178642	65.052528
gene_190	jgi.p|Botci1|190	Supercontig_1.1	-	473145	474868	107.426025	82.366035	82.206673
gene_193	jgi.p|Botci1|193	Supercontig_1.1	+	483513	484304	6.978535	5.350606	5.340254
gene_191	jgi.p|Botci1|191	Supercontig_1.1	+	477579	480613	23.723324	18.189224	18.154032
gene_194	jgi.p|Botci1|194	Supercontig_1.1	+	484975	486341	7.820207	5.995935	5.984334
gene_195	jgi.p|Botci1|195	Supercontig_1.1	-	486696	488867	17.324585	13.283163	13.257463
gene_196	jgi.p|Botci1|196	Supercontig_1.1	-	489998	490114	17.965813	13.774807	13.748156
gene_200	jgi.p|Botci1|200	Supercontig_1.1	+	499942	501186	3.945717	3.025273	3.019420
gene_197	jgi.p|Botci1|197	Supercontig_1.1	+	491521	493267	388.805939	298.106598	297.529816
gene_198	jgi.p|Botci1|198	Supercontig_1.1	-	493865	495687	183.916061	141.012726	140.739883
gene_199	jgi.p|Botci1|199	Supercontig_1.1	+	496999	498346	104.976303	80.487778	80.332054
gene_203	jgi.p|Botci1|203	Supercontig_1.1	-	507502	507972	5.203822	3.989892	3.982172
gene_201	jgi.p|Botci1|201	Supercontig_1.1	-	503916	505259	71.694504	54.969845	54.863491
gene_202	jgi.p|Botci1|202	Supercontig_1.1	+	505601	506093	31.589569	24.220459	24.173597
gene_205	jgi.p|Botci1|205	Supercontig_1.1	+	509170	510464	130.069489	99.727310	99.534355
gene_206	jgi.p|Botci1|206	Supercontig_1.1	-	511236	512152	29.815605	22.860319	22.816090
gene_207	jgi.p|Botci1|207	Supercontig_1.1	+	512473	513309	52.172035	40.001514	39.924122
gene_208	jgi.p|Botci1|208	Supercontig_1.1	-	513694	513804	117.153152	89.824059	89.650261
gene_209	jgi.p|Botci1|209	Supercontig_1.1	-	514277	515193	37.950336	29.097408	29.041109
gene_210	jgi.p|Botci1|210	Supercontig_1.1	+	515514	515990	4.800376	3.680560	3.673439
gene_211	jgi.p|Botci1|211	Supercontig_1.1	+	517008	518255	74.877144	57.410049	57.298973
gene_213	jgi.p|Botci1|213	Supercontig_1.1	+	522578	524062	0.616039	0.472331	0.471418
gene_212	jgi.p|Botci1|212	Supercontig_1.1	-	519650	520504	449.327484	344.509857	343.843292
gene_218	jgi.p|Botci1|218	Supercontig_1.1	-	535113	535325	2.816901	2.159784	2.155605
gene_216	jgi.p|Botci1|216	Supercontig_1.1	-	529519	530513	0.508039	0.389525	0.388772
gene_215	jgi.p|Botci1|215	Supercontig_1.1	-	526876	528327	52.905983	40.564251	40.485767
gene_219	jgi.p|Botci1|219	Supercontig_1.1	-	536518	536862	141.133331	108.210220	108.000847
gene_220	jgi.p|Botci1|220	Supercontig_1.1	+	537536	538810	0.000000	0.000000	0.000000
gene_221	jgi.p|Botci1|221	Supercontig_1.1	-	542720	542917	1.686869	1.293362	1.290859
gene_223	jgi.p|Botci1|223	Supercontig_1.1	-	544862	546585	0.353233	0.270832	0.270308
gene_222	jgi.p|Botci1|222	Supercontig_1.1	+	543203	544400	1.388449	1.064556	1.062497
gene_225	jgi.p|Botci1|225	Supercontig_1.1	+	552194	553492	2.979215	2.284234	2.279814
gene_227	jgi.p|Botci1|227	Supercontig_1.1	-	556855	557193	5.035398	3.860757	3.853287
gene_228	jgi.p|Botci1|228	Supercontig_1.1	+	557496	557735	1.004167	0.769918	0.768429
gene_230	jgi.p|Botci1|230	Supercontig_1.1	+	560295	560682	0.000000	0.000000	0.000000
gene_229	jgi.p|Botci1|229	Supercontig_1.1	-	558313	559614	2.118110	1.624004	1.620862
gene_226	jgi.p|Botci1|226	Supercontig_1.1	-	554942	555751	214.187424	164.222488	163.904739
gene_231	jgi.p|Botci1|231	Supercontig_1.1	-	564626	566932	47.063381	36.084591	36.014774
gene_232	jgi.p|Botci1|232	Supercontig_1.1	-	568660	570617	17.380499	13.326035	13.300250
gene_233	jgi.p|Botci1|233	Supercontig_1.1	-	571194	571821	0.000000	0.000000	0.000000
gene_234	jgi.p|Botci1|234	Supercontig_1.1	+	572225	573175	64.994743	49.832985	49.736568
gene_235	jgi.p|Botci1|235	Supercontig_1.1	-	573735	576019	42.115879	32.291225	32.228748
gene_237	jgi.p|Botci1|237	Supercontig_1.1	+	582274	584121	6.210644	4.761846	4.752632
gene_236	jgi.p|Botci1|236	Supercontig_1.1	+	577192	580342	29.384048	22.529436	22.485844
gene_238	jgi.p|Botci1|238	Supercontig_1.1	-	584984	586856	10.850305	8.319181	8.303085
gene_239	jgi.p|Botci1|239	Supercontig_1.1	+	587660	590913	16.815063	12.892501	12.867558
gene_241	jgi.p|Botci1|241	Supercontig_1.1	-	594934	595134	0.442786	0.339494	0.338838
gene_242	jgi.p|Botci1|242	Supercontig_1.1	-	596015	597027	0.000000	0.000000	0.000000
gene_240	jgi.p|Botci1|240	Supercontig_1.1	-	591266	593918	31.070908	23.822788	23.776695
gene_243	jgi.p|Botci1|243	Supercontig_1.1	+	597327	601108	2.292559	1.757758	1.754357
gene_246	jgi.p|Botci1|246	Supercontig_1.1	-	607288	607733	0.000000	0.000000	0.000000
gene_245	jgi.p|Botci1|245	Supercontig_1.1	-	606366	607023	0.919414	0.704936	0.703572
gene_244	jgi.p|Botci1|244	Supercontig_1.1	+	603067	605594	16.947548	12.994081	12.968939
gene_247	jgi.p|Botci1|247	Supercontig_1.1	-	610346	611792	38.086117	29.201513	29.145014
gene_248	jgi.p|Botci1|248	Supercontig_1.1	-	616095	616621	87.311905	66.944077	66.814552
gene_249	jgi.p|Botci1|249	Supercontig_1.1	-	617089	617479	22.407436	17.180304	17.147062
gene_250	jgi.p|Botci1|250	Supercontig_1.1	+	618162	619170	82.875198	63.542347	63.419407
gene_253	jgi.p|Botci1|253	Supercontig_1.1	-	625318	625685	0.000000	0.000000	0.000000
gene_251	jgi.p|Botci1|251	Supercontig_1.1	+	621370	623195	7.126035	5.463697	5.453126
gene_254	jgi.p|Botci1|254	Supercontig_1.1	+	626245	627104	0.983105	0.753770	0.752311
gene_258	jgi.p|Botci1|258	Supercontig_1.1	-	634216	634541	0.000000	0.000000	0.000000
gene_259	jgi.p|Botci1|259	Supercontig_1.1	+	635683	636615	0.251592	0.192901	0.192528
gene_255	jgi.p|Botci1|255	Supercontig_1.1	+	627595	628432	23.356779	17.908186	17.873539
gene_256	jgi.p|Botci1|256	Supercontig_1.1	-	629972	631650	15.036152	11.528568	11.506263
gene_261	jgi.p|Botci1|261	Supercontig_1.1	+	640387	641225	5.235989	4.014555	4.006787
gene_262	jgi.p|Botci1|262	Supercontig_1.1	-	641982	642657	0.000000	0.000000	0.000000
gene_260	jgi.p|Botci1|260	Supercontig_1.1	+	637724	639270	34.564053	26.501064	26.449791
gene_263	jgi.p|Botci1|263	Supercontig_1.1	-	644077	646256	0.000000	0.000000	0.000000
gene_264	jgi.p|Botci1|264	Supercontig_1.1	-	646807	647115	0.993528	0.761761	0.760287
gene_265	jgi.p|Botci1|265	Supercontig_1.1	-	650598	651633	129.787674	99.511238	99.318703
gene_266	jgi.p|Botci1|266	Supercontig_1.1	+	651960	652256	3.441077	2.638354	2.633249
gene_268	jgi.p|Botci1|268	Supercontig_1.1	-	659890	661717	7.196714	5.517889	5.507212
gene_269	jgi.p|Botci1|269	Supercontig_1.1	+	662075	662173	0.838384	0.642809	0.641565
gene_267	jgi.p|Botci1|267	Supercontig_1.1	-	652579	658608	16.658390	12.772376	12.747663
gene_274	jgi.p|Botci1|274	Supercontig_1.1	-	669513	669959	1.035794	0.794167	0.792631
gene_273	jgi.p|Botci1|273	Supercontig_1.1	-	667680	668295	1.331560	1.020938	1.018963
gene_270	jgi.p|Botci1|270	Supercontig_1.1	-	663462	664235	8.288116	6.354692	6.342397
gene_271	jgi.p|Botci1|271	Supercontig_1.1	-	665037	665415	0.000000	0.000000	0.000000
gene_278	jgi.p|Botci1|278	Supercontig_1.1	-	678424	679596	0.381927	0.292832	0.292266
gene_277	jgi.p|Botci1|277	Supercontig_1.1	+	675029	677786	1.951427	1.496205	1.493310
gene_279	jgi.p|Botci1|279	Supercontig_1.1	+	681302	683039	1.067174	0.818227	0.816644
gene_281	jgi.p|Botci1|281	Supercontig_1.1	+	687037	688593	1.727814	1.324755	1.322192
gene_280	jgi.p|Botci1|280	Supercontig_1.1	+	683696	684657	132.014145	101.218323	101.022484
gene_282	jgi.p|Botci1|282	Supercontig_1.1	+	689079	691088	19.872139	15.236433	15.206952
gene_284	jgi.p|Botci1|284	Supercontig_1.1	+	695647	696294	1.324074	1.015198	1.013234
gene_283	jgi.p|Botci1|283	Supercontig_1.1	+	693055	694526	141.984665	108.862953	108.652328
gene_288	jgi.p|Botci1|288	Supercontig_1.1	+	708321	708584	4.405303	3.377648	3.371114
gene_286	jgi.p|Botci1|286	Supercontig_1.1	+	703277	705845	0.000000	0.000000	0.000000
